id;edicion;encuadernacion;precio
1;magenta Concrete;User-centric Gloves;21876
2;Oklahoma facilitate;Engineer;96244
3;Quality-focused;card Plastic;99774
4;mission-critical;Berkshire Small Plastic Pants Investor;23956
5;Granite Berkshire Designer;Credit Card Account;8085
6;24/7 Re-contextualized cross-platform;invoice withdrawal;53577
7;Licensed hacking installation;Argentine Peso;85835
8;neural-net red;Buckinghamshire Future-proofed deposit;17436
9;Yen synthesize Creative;Forint;73521
10;azure;SMS Enhanced;65998
